time,summary
1728415726.6484733,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A
1728415726.6774008,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 A
1728415726.728838,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 A
1728415726.728838,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 A
1728415726.7379029,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 A
1728415726.738593,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 A
1728415726.738593,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 A
1728415726.738593,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 PA / Raw
1728415726.7692957,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 PA / Raw
1728415726.7692957,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 > 2404:6800:4009:829::2003:https A
1728415726.7692957,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 PA / Raw
1728415726.7768784,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 > 2404:6800:4009:829::2003:https PA / Raw
1728415726.7798262,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 > 2404:6800:4009:829::2003:https PA / Raw
1728415726.7798262,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 A
1728415726.7798262,Ether / IPv6 / TCP 2404:6800:4009:829::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 A
1728415726.7798262,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https PA / Raw
1728415726.7863593,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https A / Raw
1728415726.8291364,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https A / Raw
1728415726.8291364,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https PA / Raw
1728415726.8291364,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 A
1728415726.9070194,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 A
1728415726.9082472,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 A
1728415726.9082472,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 A
1728415726.9082472,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20984 > 2404:6800:4009:828::2003:https A / Raw
1728415726.9370542,Ether / IPv6 / TCP 2404:6800:4009:828::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20984 A
1728415727.0888832,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.0888832,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.0888832,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.0888832,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.096735,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.0987203,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.0987203,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.0987203,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.1076202,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.1101356,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.1101356,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.1131175,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.1131175,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.1131175,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https PA / Raw
1728415727.1383688,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https A / Raw
1728415727.1423786,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https PA / Raw
1728415727.145161,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.1468143,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 PA / Raw
1728415727.1468143,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 PA / Raw
1728415727.1468143,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 PA / Raw
1728415727.1468143,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https A
1728415727.1468143,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.1468143,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https PA / Raw
1728415727.1468143,Ether / IP / TCP 192.168.57.164:20478 > 34.120.15.67:https PA / Raw
1728415727.1561353,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.197309,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.197309,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20995 > 2404:6800:4009:821::2008:https A / Raw
1728415727.236971,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 A
1728415727.236971,Ether / IP / TCP 34.120.15.67:https > 192.168.57.164:20478 A
1728415727.236971,Ether / IPv6 / TCP 2404:6800:4009:821::2008:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20995 A
1728415727.3178802,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20958 > 2404:6800:4009:827::2003:https A / Raw
1728415727.3484316,Ether / IPv6 / TCP 2404:6800:4009:827::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20958 A
1728415727.4469035,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 PA / Raw
1728415727.4514382,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https PA / Raw
1728415727.4889019,Ether / IP / TCP 34.120.202.204:https > 192.168.57.164:20477 A
1728415727.6067123,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https PA / Raw
1728415727.6483514,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A
1728415727.658482,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.6598763,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.662244,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.662244,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.6662652,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.6682336,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.6682336,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.6682336,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https PA / Raw
1728415727.7134383,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A
1728415727.7183738,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.7210577,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7221081,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7221081,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.726727,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.726727,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.726727,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.726727,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7304978,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.7304978,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7304978,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.736512,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7376773,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
